age_cat,race,offense_violent,offense_property,offense_drug,ch_crimhist,ch_probation_num,ch_incarceration_num,co_statustme,drug_any,co_currentoffense,education,citizenship,gender,drug_abuse_dsmiv,drug_dependence,typeoffense,ses_any_children,ch_numcar,cs_sentencemth,life_sentence
2,2,1,0,0,5,3,1,2,1,7,10,1,1,1,0,7,1,1,30,0
4,2,0,0,1,6,3,4,2,1,16,12,1,1,1,0,16,1,7,60,0
2,2,0,0,1,10,2,4,4,2,17,12,1,1,0,0,17,2,7,24,0
2,1,0,1,0,3,0,0,4,1,12,10,1,1,0,0,12,1,0,90,0
3,2,0,0,1,10,1,3,4,1,17,12,1,1,0,0,17,2,4,48,0
4,4,0,0,0,6,2,1,2,1,23,10,1,1,1,1,21,2,1,120,0
4,2,0,0,0,6,1,4,1,1,24,10,1,1,1,0,21,2,7,3,0
1,2,0,0,1,7,2,0,2,1,16,8,1,1,1,1,16,2,0,72,0
3,1,1,0,0,4,2,5,4,1,6,10,1,1,1,1,6,1,15,72,0
1,1,1,0,0,1,1,0,4,1,5,12,1,1,1,1,5,2,0,60,0
2,2,0,0,0,10,2,3,2,1,19,12,1,1,1,1,19,1,3,18,0
3,3,0,0,0,3,0,0,4,1,19,9,2,1,0,0,19,2,0,24,0
2,1,0,1,0,10,2,2,4,1,9,11,1,1,1,1,9,2,2,24,0
2,3,0,1,0,10,3,3,2,1,10,12,1,1,1,0,10,1,3,18,0
1,3,0,0,1,10,1,2,2,1,17,9,1,1,1,1,17,2,2,66,0
2,6,1,0,0,5,3,0,4,1,7,12,1,1,1,1,7,2,0,120,0
4,1,1,0,0,1,0,0,4,1,5,16,1,1,0,0,5,2,0,120,0
3,2,0,0,1,2,0,1,4,1,17,11,1,1,0,0,17,1,1,60,0
3,2,0,0,0,6,3,3,2,1,24,11,1,1,1,1,21,2,4,21,0
3,1,1,0,0,1,0,0,4,2,5,18,1,1,0,0,5,1,0,3,0
3,1,1,0,0,5,3,5,2,1,6,12,1,1,1,1,6,2,11,15,0
3,1,1,0,0,5,1,1,2,2,3,14,1,1,0,0,3,1,1,504,0
3,1,0,0,0,5,0,1,2,1,20,12,1,1,0,0,21,1,1,6,0
2,1,1,0,0,5,3,0,4,1,5,11,1,1,1,1,5,2,0,24,0
1,2,0,0,0,5,1,1,2,1,24,12,1,1,1,0,21,2,1,24,0
1,3,0,0,0,6,3,1,2,2,20,10,1,1,0,0,21,2,1,27,0
3,1,1,0,0,4,5,5,2,1,5,12,1,1,0,0,5,1,14,60,0
3,2,0,1,0,10,3,1,4,1,9,12,1,1,1,0,9,2,1,84,0
1,3,0,0,0,6,3,1,2,1,20,9,1,1,1,1,21,1,1,18,0
1,1,0,1,0,3,1,0,1,1,11,10,1,1,1,0,11,2,0,60,0
2,3,1,0,0,4,3,3,4,1,7,10,1,1,1,1,7,1,5,60,0
2,3,0,0,1,6,3,3,2,1,16,11,1,1,1,0,16,1,3,15,0
4,1,1,0,0,1,0,0,4,1,7,12,1,1,1,0,7,2,0,84,0
2,2,1,0,0,1,1,0,4,1,6,12,2,1,1,0,6,1,0,78,0
2,3,1,0,0,5,1,1,4,1,7,11,1,1,1,1,7,2,1,96,0
2,3,0,0,1,6,1,1,1,1,17,9,1,1,0,0,17,1,1,24,0
3,3,0,1,0,6,3,4,4,1,10,10,1,1,1,1,10,1,6,1,0
2,3,0,0,0,10,1,0,1,1,19,16,1,1,1,0,19,2,0,84,0
1,3,0,0,1,5,2,1,4,1,16,10,1,1,1,1,16,2,1,78,0
1,5,1,0,0,1,0,0,4,2,5,12,2,1,0,0,5,2,0,72,0
1,2,0,0,1,2,1,0,1,1,16,10,1,1,1,0,16,1,0,36,0
2,2,0,0,1,7,2,2,2,1,16,14,1,1,0,0,16,1,2,6,0
2,2,0,0,1,6,3,0,1,1,17,10,1,1,1,0,17,1,0,84,0
1,3,1,0,0,1,0,0,4,1,7,12,1,1,1,1,7,2,0,6,0
1,2,0,0,1,10,2,1,2,1,17,10,1,1,1,0,17,2,1,60,0
1,3,1,0,0,1,1,0,4,1,5,9,1,1,1,0,5,2,0,30,0
4,2,1,0,0,5,2,0,4,1,5,12,1,1,0,0,5,2,0,72,0
3,1,0,0,1,10,0,0,2,1,16,10,1,1,1,1,16,1,0,48,0
4,1,0,0,0,10,0,1,2,2,22,13,1,1,0,0,20,1,1,30,0
3,2,0,0,1,10,3,0,4,1,17,12,1,1,0,0,17,1,0,30,0
5,1,0,0,1,6,3,3,2,1,17,12,1,1,0,0,17,2,3,48,0
2,2,0,0,1,6,2,3,2,1,17,11,1,1,1,0,17,2,3,60,0
3,2,0,0,0,6,3,3,4,1,23,12,1,1,1,0,21,2,4,5,0
1,1,1,0,0,5,2,1,4,1,3,11,1,1,0,0,3,2,1,36,0
3,3,0,0,1,6,2,1,2,1,18,8,1,1,1,1,18,1,1,30,0
3,1,1,0,0,1,0,0,4,2,7,11,1,1,0,0,7,2,0,120,0
6,1,1,0,0,4,1,0,4,2,8,10,1,1,0,0,8,2,0,72,0
3,2,1,0,0,4,0,3,2,1,5,10,1,1,0,0,5,1,3,16,0
3,1,0,0,0,6,4,3,2,1,24,12,1,1,1,0,21,2,5,84,0
2,6,0,0,1,6,4,1,2,1,16,12,1,1,1,1,16,1,1,36,0
2,3,0,0,1,2,0,0,4,1,16,6,1,1,0,0,16,1,0,42,0
4,3,0,1,0,3,0,0,4,2,9,11,1,1,0,0,9,1,0,96,0
2,2,0,1,0,6,3,1,2,1,12,12,1,1,0,0,12,1,1,120,0
2,1,1,0,0,1,0,0,4,1,7,12,1,1,1,1,7,2,0,36,0
4,1,1,0,0,5,3,1,4,1,5,14,1,1,0,0,5,1,1,96,0
3,2,1,0,0,1,0,0,4,2,6,11,2,1,0,0,6,2,0,300,0
2,2,0,0,1,10,2,0,4,1,16,11,1,1,1,1,16,2,0,84,0
2,2,1,0,0,5,0,1,2,1,2,9,1,1,1,1,2,2,1,240,0
1,1,0,0,0,6,3,2,2,1,24,11,1,1,1,1,21,2,2,36,0
2,2,1,0,0,5,2,0,4,1,5,12,1,1,1,0,5,2,0,96,0
6,1,1,0,0,1,0,0,4,2,5,9,1,1,0,0,5,1,0,120,0
2,2,0,0,1,6,4,1,2,1,17,12,1,1,0,0,17,2,1,24,0
4,1,1,0,0,5,4,4,4,1,6,14,1,1,1,1,6,2,7,240,0
3,1,1,0,0,5,3,0,4,1,7,6,1,1,1,0,7,2,0,84,0
3,2,0,0,1,4,1,0,4,1,17,11,1,1,1,0,17,2,0,96,0
2,3,0,0,1,6,2,0,4,1,17,12,1,1,1,0,17,2,0,108,0
2,3,0,0,1,2,0,0,4,1,16,9,1,1,1,0,16,2,0,24,0
3,3,1,0,0,1,0,0,4,1,5,17,2,1,0,0,5,1,0,144,0
4,2,0,0,1,6,2,4,4,1,17,11,1,1,1,0,17,1,9,60,0
1,3,0,1,0,5,3,1,2,1,10,12,1,1,1,1,10,1,1,36,0
3,3,0,0,1,2,0,0,4,1,16,12,1,1,0,0,16,2,0,33,0
1,2,0,0,1,10,1,0,4,1,17,10,1,1,0,0,17,2,0,24,0
3,1,0,0,1,2,0,0,4,1,16,12,1,1,0,0,16,2,0,18,0
4,3,0,0,1,6,1,0,4,2,17,12,2,1,0,0,17,1,0,12,0
1,2,1,0,0,1,0,0,4,1,6,12,1,1,0,0,6,2,0,84,0
2,2,0,0,0,10,3,1,2,1,20,12,1,1,0,0,21,1,1,31,0
2,2,0,0,0,6,3,1,2,1,20,10,1,1,1,1,21,1,1,12,0
4,3,1,0,0,4,0,3,4,1,6,14,1,1,1,1,6,1,3,48,0
1,2,1,0,0,4,2,1,2,1,8,11,1,1,1,0,8,2,1,24,0
4,2,0,0,0,10,3,2,1,1,19,7,1,1,0,0,19,2,2,60,0
2,1,1,0,0,4,0,2,4,1,7,9,2,1,1,1,7,2,2,48,0
3,2,0,0,0,9,2,2,2,1,20,12,1,1,0,0,21,2,2,18,0
4,1,1,0,0,1,0,0,4,2,1,13,1,1,0,0,1,1,0,180,0
1,3,1,0,0,1,0,0,4,1,7,10,1,1,1,1,7,1,0,60,0
2,3,1,0,0,4,1,1,2,1,8,12,1,1,1,1,8,1,1,396,0
1,3,0,0,0,5,0,3,4,1,24,10,1,1,1,1,21,1,3,24,0
2,3,0,1,0,10,2,1,2,1,11,11,1,1,1,1,11,2,1,30,0
2,2,1,0,0,5,2,0,2,1,1,11,1,1,1,1,1,2,0,344,0
2,1,1,0,0,1,0,0,4,1,1,10,1,1,1,1,1,2,0,540,0
2,2,0,0,1,10,0,0,2,1,16,10,1,1,0,0,16,1,0,108,0
3,2,1,0,0,5,2,0,4,1,1,10,1,1,0,0,1,1,0,600,0
2,2,1,0,0,1,0,0,4,1,1,12,2,1,0,0,1,2,0,600,0
5,2,0,0,1,10,3,4,4,1,16,12,1,1,1,0,16,1,9,36,0
1,1,1,0,0,1,0,0,4,1,6,12,1,1,1,1,6,2,0,60,0
4,3,1,0,0,5,2,3,4,1,1,11,1,1,0,0,1,1,3,540,0
2,3,1,0,0,4,2,0,2,1,3,4,1,1,0,0,3,2,0,396,0
4,1,1,0,0,4,2,1,4,1,1,12,1,1,1,0,1,2,1,12,0
2,2,1,0,0,4,2,0,2,1,7,12,1,1,0,0,7,2,0,480,0
3,1,1,0,0,1,1,0,2,1,7,14,1,1,0,0,7,2,0,78,0
5,6,1,0,0,1,0,0,4,1,5,12,1,1,0,0,5,2,0,12,0
3,2,1,0,0,4,1,0,4,1,2,11,1,1,0,0,2,1,0,336,0
3,1,0,1,0,10,2,0,2,1,13,10,1,2,1,1,13,1,0,42,0
2,2,0,0,1,7,2,0,2,1,16,10,1,2,1,1,16,2,0,36,0
3,3,0,0,0,6,3,0,2,1,24,10,1,2,1,1,21,2,0,9,0
2,2,0,0,1,10,0,0,2,1,17,11,1,2,1,1,17,2,0,30,0
1,1,0,0,0,6,3,3,2,1,20,9,1,2,1,1,21,2,5,30,0
3,3,0,0,1,10,3,0,4,1,16,0,1,2,1,1,16,1,0,60,0
4,2,0,1,0,10,0,5,2,1,10,10,1,2,1,1,10,1,24,24,0
3,1,1,0,0,1,0,0,4,1,1,12,1,2,0,1,1,2,0,120,0
2,1,0,1,0,10,0,0,2,1,15,12,1,2,1,1,15,1,0,4,0
3,1,0,0,0,10,4,1,2,1,24,14,1,2,1,1,21,2,1,15,0
3,1,0,0,0,10,2,1,2,1,24,12,1,2,1,1,21,2,1,12,0
3,6,1,0,0,5,2,5,4,1,6,11,1,2,1,1,6,1,13,120,0
5,2,1,0,0,1,0,0,4,2,2,13,1,2,0,0,2,1,0,360,0
2,1,0,0,0,6,1,3,4,1,23,13,1,2,0,0,21,2,3,1,0
3,3,0,0,1,6,3,3,2,1,16,11,1,2,1,1,16,2,5,12,0
4,1,0,0,1,10,1,0,4,2,16,11,1,2,0,0,16,2,0,141,0
1,2,0,1,0,10,2,1,2,1,10,12,1,2,1,1,10,2,1,12,0
3,1,0,1,0,3,0,0,4,1,10,14,1,2,1,1,10,2,0,1,0
2,3,1,0,0,4,3,2,2,1,8,9,1,2,1,1,8,2,2,18,0
3,1,0,0,0,6,2,0,2,1,24,11,1,2,0,0,21,1,0,20,0
3,3,0,0,0,3,0,0,4,2,25,5,2,2,0,0,21,1,0,5,0
3,1,0,1,0,3,0,0,4,2,10,14,1,2,0,0,10,2,0,48,0
3,1,0,1,0,4,2,1,2,2,10,12,1,2,0,0,10,1,1,24,0
1,3,1,0,0,4,2,0,2,1,7,11,1,2,1,0,7,2,0,12,0
3,2,0,0,1,6,3,3,2,1,17,12,1,2,1,1,17,2,4,72,0
3,3,1,0,0,4,2,0,2,1,7,9,1,2,1,1,7,2,0,36,0
2,3,0,0,1,2,0,0,4,1,17,12,1,2,0,0,17,2,0,12,0
2,2,0,0,0,3,0,0,2,1,23,12,1,2,0,1,21,2,0,6,0
4,3,0,0,1,2,0,0,4,1,16,12,1,2,1,1,16,2,0,15,0
2,1,1,0,0,1,0,0,2,1,8,9,1,2,1,1,8,2,0,36,0
1,1,0,0,1,2,0,0,4,1,16,13,1,2,1,1,16,2,0,18,0
1,2,0,0,1,2,0,0,4,2,17,10,1,2,0,0,17,2,0,60,0
3,1,1,0,0,4,3,0,4,1,6,8,1,2,1,1,6,1,0,276,0
1,2,0,1,0,6,2,0,4,1,9,8,1,2,1,1,9,1,0,60,0
2,2,0,0,1,10,0,0,2,1,17,11,1,2,1,0,17,2,0,60,0
3,1,0,0,0,10,3,5,2,1,23,12,1,2,1,1,21,1,20,24,0
2,3,0,0,1,2,0,0,4,1,17,12,1,2,1,1,17,1,0,60,0
3,1,0,0,1,10,0,1,4,1,18,14,1,2,1,1,18,1,1,6,0
1,1,1,0,0,1,0,0,4,2,7,10,1,2,0,0,7,2,0,1,0
3,1,0,0,0,4,3,1,2,1,24,16,1,2,1,0,21,2,1,9,0
3,1,0,0,0,10,3,1,4,1,22,10,1,2,1,0,20,2,1,5,0
3,2,1,0,0,4,1,0,4,1,7,12,1,2,0,0,7,1,0,30,0
3,3,0,1,0,10,1,0,4,1,10,9,1,2,1,1,10,1,0,5,0
2,3,0,0,1,6,4,0,2,1,18,8,1,2,1,1,18,1,0,14,0
2,1,1,0,0,5,1,3,4,1,1,9,1,2,1,1,1,2,3,10000,1
4,3,0,0,1,2,0,0,4,2,17,12,2,2,0,0,17,1,0,120,0
3,1,1,0,0,1,0,0,4,1,1,11,1,2,1,1,1,2,0,10000,1
1,1,0,1,0,10,4,4,2,1,9,13,1,2,1,1,9,2,6,6,0
3,2,0,0,1,6,2,3,4,1,17,11,1,2,1,1,17,1,4,36,0
3,1,0,1,0,10,3,1,2,1,9,12,1,2,1,1,9,1,1,24,0
3,2,1,0,0,4,2,3,4,1,6,12,1,2,1,1,6,2,4,120,0
2,1,0,0,0,3,0,0,4,2,24,17,1,2,0,0,21,2,0,1,0
1,2,0,0,1,10,1,0,2,1,17,9,1,2,1,1,17,2,0,36,0
1,2,0,0,1,6,2,3,2,1,16,9,1,2,0,0,16,2,4,24,0
1,2,1,0,0,4,2,0,4,1,6,10,1,2,1,1,6,1,0,42,0
4,1,1,0,0,1,0,0,4,1,2,12,1,2,0,0,2,2,0,132,0
2,1,0,1,0,4,4,0,2,1,14,10,1,2,1,1,14,2,0,5,0
3,3,0,0,1,2,0,0,4,2,17,12,2,2,0,0,17,1,0,180,0
4,3,1,0,0,5,0,1,2,1,1,6,1,2,0,0,1,2,1,10000,1
2,3,0,0,1,2,0,0,4,1,17,19,2,2,0,0,17,1,0,96,0
1,1,1,0,0,4,5,0,4,1,7,12,1,2,1,1,7,2,0,60,0
3,1,0,1,0,5,3,0,2,1,10,11,1,2,1,1,10,2,0,12,0
2,1,0,1,0,4,3,0,4,1,10,10,1,2,1,1,10,1,0,3,0
4,1,0,0,0,10,1,2,4,1,26,13,1,2,1,0,21,1,2,1,0
1,3,0,0,0,6,3,4,4,1,24,7,1,2,1,1,21,2,10,120,0
3,1,0,0,0,10,2,0,2,1,24,14,1,2,1,1,21,1,0,24,0
2,2,1,0,0,4,1,1,4,1,4,9,1,1,1,0,4,2,1,240,0
3,2,1,0,0,4,3,4,2,1,6,13,1,1,1,1,6,2,6,96,0
2,1,1,0,0,1,0,0,4,2,1,13,1,1,0,0,1,2,0,10000,1
2,2,1,0,0,1,0,0,4,1,2,12,2,1,0,0,2,2,0,180,0
3,1,0,1,0,10,3,2,2,1,9,11,1,1,1,1,9,2,2,72,0
3,2,0,1,0,4,2,0,2,1,9,14,1,1,0,0,9,2,0,240,0
6,3,0,0,1,2,0,0,4,2,16,1,2,1,0,0,16,1,0,120,0
3,1,1,0,0,1,2,0,4,1,6,8,1,1,1,1,6,2,0,10000,1
2,3,1,0,0,5,2,0,4,1,1,10,1,1,1,0,1,2,0,10000,1
1,3,1,0,0,4,2,2,1,1,1,8,1,1,1,1,1,1,2,10000,1
3,2,1,0,0,4,1,0,4,1,4,11,1,1,1,1,4,1,0,96,0
4,1,1,0,0,1,0,0,4,1,4,14,1,1,0,0,4,1,0,348,0
4,1,1,0,0,4,4,4,4,1,1,16,1,1,1,0,1,2,9,300,0
2,1,1,0,0,1,0,0,4,1,1,16,1,1,1,1,1,2,0,10000,1
2,3,1,0,0,1,0,0,4,2,7,10,2,1,0,0,7,2,0,240,0
1,3,0,0,1,7,3,0,4,1,16,8,1,1,1,0,16,2,0,60,0
5,6,1,0,0,4,1,0,4,2,4,14,1,1,0,0,4,2,0,192,0
4,2,1,0,0,4,0,1,1,1,6,13,1,1,1,1,6,2,1,10000,1
2,3,0,0,1,6,3,1,4,1,17,10,1,1,1,1,17,1,1,48,0
3,2,0,0,1,2,0,0,2,1,17,12,1,1,1,1,17,2,0,36,0
2,2,0,0,1,2,0,0,4,1,17,12,1,1,1,1,17,2,0,84,0
3,1,1,0,0,4,3,1,4,1,4,8,1,1,1,0,4,1,1,84,0
2,2,1,0,0,4,2,2,2,1,1,12,1,1,1,1,1,2,2,10000,1
4,1,1,0,0,5,2,0,4,1,1,12,1,1,0,0,1,2,0,10000,1
2,3,1,0,0,5,1,2,4,1,2,9,1,1,1,1,2,2,2,180,0
1,3,1,0,0,5,0,0,2,1,1,9,1,1,1,0,1,2,0,180,0
6,4,1,0,0,5,1,0,4,2,5,11,1,1,0,0,5,1,0,60,0
3,3,1,0,0,1,0,0,4,2,4,16,1,1,0,0,4,1,0,96,0
1,3,0,0,1,6,3,4,2,1,17,7,1,1,0,0,17,2,8,60,0
2,3,1,0,0,5,1,1,4,1,6,9,1,1,1,1,6,1,1,60,0
2,1,1,0,0,1,0,0,4,1,1,11,1,1,0,0,1,1,0,10000,1
2,3,1,0,0,1,0,0,4,1,7,12,2,1,1,0,7,1,0,180,0
3,3,0,0,1,7,0,1,4,1,17,19,2,1,0,0,17,1,1,120,0
3,3,0,0,1,2,0,0,4,1,17,7,1,1,0,0,17,1,0,120,0
4,2,1,0,0,4,3,1,1,1,7,12,1,1,0,0,7,2,1,2400,0
1,5,1,0,0,1,2,0,4,2,2,9,1,1,0,0,2,2,0,168,0
4,1,1,0,0,4,1,1,4,1,4,7,1,1,0,0,4,2,1,600,0
3,2,1,0,0,4,2,2,4,1,7,9,1,1,1,0,7,2,2,60,0
2,3,0,0,0,6,2,2,2,1,24,7,1,1,1,1,21,1,2,84,0
2,1,1,0,0,5,3,1,4,1,6,12,1,1,0,0,6,2,1,96,0
2,1,1,0,0,4,1,4,4,1,6,9,1,1,1,1,6,2,10,46,0
3,3,1,0,0,1,0,0,4,1,1,14,2,1,1,0,1,2,0,10000,1
4,2,1,0,0,4,2,1,1,1,6,12,1,1,1,1,6,1,1,264,0
4,1,1,0,0,5,1,0,2,1,1,12,1,1,1,1,1,1,0,10000,1
3,3,0,0,1,2,0,0,4,1,17,19,2,1,0,0,17,2,0,120,0
2,1,1,0,0,4,2,4,4,1,4,11,1,1,1,1,4,2,8,180,0
3,2,1,0,0,4,4,5,1,1,6,10,1,1,1,1,6,1,11,72,0
4,1,1,0,0,4,2,1,4,1,1,12,1,1,1,0,1,2,1,10000,1
4,1,1,0,0,4,1,3,4,1,4,6,1,1,1,1,4,2,4,144,0
3,3,0,0,1,10,0,0,2,1,17,19,2,1,1,0,17,1,0,60,0
4,3,0,0,1,2,0,0,4,2,17,7,2,1,0,0,17,2,0,240,0
3,1,1,0,0,5,5,1,4,1,1,3,2,1,1,1,1,2,1,12,0
3,3,0,0,1,10,1,1,4,1,17,19,2,1,0,0,17,1,1,60,0
5,1,1,0,0,1,0,0,4,2,5,18,1,1,0,0,5,1,0,120,0
3,1,1,0,0,1,1,0,4,1,1,10,1,1,1,1,1,2,0,10000,1
3,1,0,1,0,6,1,3,4,1,13,8,1,1,1,1,13,1,3,36,0
5,3,1,0,0,4,0,2,1,1,5,16,1,1,0,0,5,2,2,96,0
3,3,0,0,1,10,1,0,4,1,17,12,1,1,1,0,17,2,0,240,0
3,1,1,0,0,1,0,0,4,1,4,11,1,1,0,0,4,2,0,60,0
2,1,1,0,0,1,0,0,4,1,1,11,1,1,1,1,1,1,0,12,0
3,1,1,0,0,4,4,0,2,1,4,12,1,1,0,0,4,2,0,120,0
6,1,1,0,0,4,3,4,4,1,4,4,1,1,0,0,4,1,6,10000,1
2,1,0,0,0,6,2,1,2,2,23,14,1,1,0,0,21,1,1,9,0
3,2,1,0,0,5,1,4,4,1,7,9,1,1,0,0,7,2,8,1,0
2,3,1,0,0,4,2,1,4,1,6,9,1,1,1,1,6,2,1,144,0
3,1,1,0,0,1,0,0,4,2,1,12,1,1,0,0,1,2,0,10000,1
2,2,1,0,0,1,0,0,4,1,3,11,1,1,1,0,3,2,0,60,0
2,1,1,0,0,5,1,0,4,1,4,12,1,1,1,1,4,2,0,72,0
